State,APMC,Commodity,Min Price,Modal Price,Max Price,Commodity Arrivals,Commodity Traded,Unit,Date
UTTAR PRADESH,VARANASI,GREEN CHILLI,"2,000","2,000","2,000",124,124,Qui,23-09-2024
RAJASTHAN,RAWLA,GUAR SEEDS,"4,300","4,810","5,100",0,123,Qui,23-09-2024
TELANGANA,SURYAPETA,PADDY-IR.64,"1,814","2,076","2,076",126,123,Qui,23-09-2024
UTTAR PRADESH,BANDA,MASOOR,"5,800","5,800","5,900",123,123,Qui,23-09-2024
ANDHRA PRADESH,PIDUGURALLA,CHILLI-334,"10,000","15,000","16,000",122,122,Qui,23-09-2024
TAMIL NADU,MANALURPET,MAIZE,"2,321","2,443","2,539",156,122,Qui,23-09-2024
ODISHA,BHAWANIPATNA,CAULIFLOWER,"2,500","2,500","2,500",121,121,Qui,23-09-2024
HARYANA,PALWAL,BANANA,"2,100","2,100","2,100",120,120,Qui,23-09-2024
MAHARASHTRA,AHMEDNAGAR,MOONG WHOLE (GREEN GRAM),"7,345","7,775","7,875",275,120,Qui,23-09-2024
RAJASTHAN,BARODAMEV,MUSTARD,"6,000","6,455","6,455",180,120,Qui,23-09-2024
RAJASTHAN,SURATGARH,MUSTARD,"6,042","6,193","6,193",120,120,Qui,23-09-2024
RAJASTHAN,NIMBAHERA,GARLIC,"14,001","18,700","19,400",119,119,Qui,23-09-2024
TAMIL NADU,ARANI,PADDY(75 KG),"2,130","2,982","2,982",114,118,Qui,23-09-2024
TAMIL NADU,VIKIRAVANDI,GROUNDNUT PODS_40 KG(TN),"4,183","4,500","6,433",134,118,Qui,23-09-2024
MADHYA PRADESH,KRISHI UPAJ MANDI SAMITI-KOLARAS,MUSTARD,"6,165","6,165","6,540",127,117,Qui,23-09-2024
ODISHA,BETNOTI,PUMPKIN,"1,000","1,000","1,000",117,117,Qui,23-09-2024
RAJASTHAN,JAIPUR F AND V MUHANA,SWEET CORN,"1,500","3,000","3,000",0,116,Qui,23-09-2024
RAJASTHAN,SRI MADHOPUR,BAJRA-HYBRID,"2,000","2,000","2,211",68,116,Qui,23-09-2024
RAJASTHAN,UDAIPUR F AND V,LADY FINGER,"1,000","1,500","2,000",145,116,Qui,23-09-2024
TAMIL NADU,ELUMATHUR,COPRA,"11,000","11,000","11,000",119,116,Qui,23-09-2024
ODISHA,ANANDAPUR,PUMPKIN,"1,000","1,000","1,000",115,115,Qui,23-09-2024
RAJASTHAN,CHOMU F AND V,BRINJAL,"1,050","1,050","1,050",115,115,Qui,23-09-2024
RAJASTHAN,JAIPUR F AND V MUHANA,CARROT,"2,500","2,500","2,500",0,115,Qui,23-09-2024
UTTAR PRADESH,JAIS,WHEAT,"2,620","2,625","2,625",115,115,Qui,23-09-2024
HARYANA,ROHTAK,APPLE,"1,000","7,000","10,000",100,114,Qui,23-09-2024
ODISHA,BALASORE,PUMPKIN,"1,000","1,000","1,000",114,114,Qui,23-09-2024
RAJASTHAN,SRIGANGANAGAR F AND V,POTATO,"1,800","1,800","1,800",114,114,Qui,23-09-2024
TAMIL NADU,VIRUDHACHALAM,GROUNDNUT KERNEL_80 KG(TN),"6,087","8,525","9,759",121,114,Qui,23-09-2024
HARYANA,ELLANABAD,APPLE,"1,600","5,000","8,000",13,113,Qui,23-09-2024
MADHYA PRADESH,VIDISHA,PADDY,"2,552","3,211","3,211",113,113,Qui,23-09-2024
HARYANA,GURGAON,BITTER GOURD,"1,955","1,955","2,655",16,112,Qui,23-09-2024
MADHYA PRADESH,SIRONJ,URAD (BLACK GRAM),"5,030","7,030","7,060",106,112,Qui,23-09-2024
MAHARASHTRA,CHANDUR BAZAR,CHANA (BENGAL GRAM),"5,810","5,810","6,100",0,112,Qui,23-09-2024
RAJASTHAN,AJMER F AND V,SWEET LEMON (MOSAMBI),"4,200","4,202","4,236",81,111,Qui,23-09-2024
RAJASTHAN,BILARA,FENNEL SEED,"5,000","5,500","8,000",119,111,Qui,23-09-2024
UTTARAKHAND,RAMNAGAR,POTATO,"2,200","2,500","2,500",111,111,Qui,23-09-2024
HARYANA,RAIPUR RANI APMC,TOMATO,18,26,26,110,110,Kg,23-09-2024
TAMIL NADU,PANRUTI,BAJRA,"2,232","2,232","3,514",118,110,Qui,23-09-2024
TAMIL NADU,POLUR,PADDY CO 51(TN),"2,255","3,092","3,092",108,110,Qui,23-09-2024
UTTAR PRADESH,BISALPUR,ONION RED,"3,035","3,260","3,450",110,110,Qui,23-09-2024
HARYANA,KALANWALI,AMERICAN-COTTON,"6,500","7,000","7,150",105,109,Qui,23-09-2024
MADHYA PRADESH,GADARWARA,WHEAT,"2,671","2,697","2,701",125,109,Qui,23-09-2024
MAHARASHTRA,VAI,ONION,"2,500","4,800","5,000",112,109,Qui,23-09-2024
RAJASTHAN,UDAIPUR F AND V,TOMATO,"2,000","2,000","4,000",147,109,Qui,23-09-2024
TAMIL NADU,VETTAVALAM,PADDY RNR (TN),"2,359","2,774","2,919",135,109,Qui,23-09-2024
RAJASTHAN,PRATAPGARH RJ,MASOOR,"5,500","6,000","6,107",108,108,Qui,23-09-2024
RAJASTHAN,LOONKARANSAR,MOTH,"5,900","6,150","6,225",107,107,Qui,23-09-2024
RAJASTHAN,MANDAWARI,WHEAT,"2,536","2,578","2,610",174,105,Qui,23-09-2024
UTTAR PRADESH,UNNAO APMC,POTATO,"2,074","2,075","2,075",105,105,Qui,23-09-2024
UTTARAKHAND,ROORKEE,TOMATO,"1,500","1,500","1,500",105,105,Qui,23-09-2024
ANDHRA PRADESH,KURNOOL,SUN FLOWER SEEDS,"5,761","6,151","6,190",76,103,Qui,23-09-2024
CHHATTISGARH,RAJIM,SWARNA PADDY,"2,022","2,138","2,170",102,103,Qui,23-09-2024
HARYANA,NARAINGARH APMC,MAIZE,"2,500","2,500","2,500",100,103,Qui,23-09-2024
ODISHA,SAMBALPUR,BRINJAL,"2,200","2,200","2,200",103,103,Qui,23-09-2024
RAJASTHAN,CHOTTISADRI,SOYABEANS,"3,000","4,545","4,551",122,103,Qui,23-09-2024
CHHATTISGARH,RAJNANDGAON,PADDY-MTU 1010,"2,111","2,170","2,180",168,102,Qui,23-09-2024
GUJARAT,HIMMATNAGAR,GROUND NUT,"6,350","6,835","7,525",112,102,Qui,23-09-2024
HARYANA,HISAR APMC,BAJRA,"2,340","2,368","2,400",80,102,Qui,23-09-2024
MADHYA PRADESH,TIMARNI,MOONG WHOLE (GREEN GRAM),"7,676","8,299","8,351",109,102,Qui,23-09-2024
RAJASTHAN,AJMER F AND V,GUAVA,"3,000","3,004","3,010",50,102,Qui,23-09-2024
RAJASTHAN,CHABRA,CORIANDAR,"5,859","6,701","6,701",102,102,Qui,23-09-2024
RAJASTHAN,LOONKARANSAR,WHEAT,"2,536","2,615","2,628",102,102,Qui,23-09-2024
UTTAR PRADESH,SHAHBAD HARDOI,WHEAT,"2,500","2,600","2,600",102,102,Qui,23-09-2024
HARYANA,SONEPAT,PUMPKIN,900,"1,500","1,500",101,101,Qui,23-09-2024
ODISHA,KENDRAPARA,LESSER YAM,"2,800","2,800","2,800",101,101,Qui,23-09-2024
RAJASTHAN,SRI GANGANAGAR GRAIN,GUAR SEEDS,"4,700","5,251","5,251",274,101,Qui,23-09-2024
TAMIL NADU,VIKIRAVANDI,MAIZE,"1,490","2,448","2,713",164,101,Qui,23-09-2024
HIMACHAL PRADESH,BHUNTAR,POMEGRANATE,"1,800","8,500","10,500",100,100,Qui,23-09-2024
MAHARASHTRA,KHAMGAON,JOWAR,"2,200","2,200","2,400",0,100,Qui,23-09-2024
RAJASTHAN,UDAIPUR F AND V,MOUSAMBI,"2,000","2,000","2,000",90,100,Qui,23-09-2024
RAJASTHAN,UDAIPUR GRAIN,WHEAT,"2,400","2,560","2,560",46,100,Qui,23-09-2024
UTTAR PRADESH,MATHURA,POTATO,"2,000","2,000","2,000",100,100,Qui,23-09-2024
UTTAR PRADESH,MOHAMADABAD APMC,MAIZE,"2,360","2,380","2,385",100,100,Qui,23-09-2024
MAHARASHTRA,SHIRUR,BAJRA,"2,300","2,500","2,700",99,99,Qui,23-09-2024
TAMIL NADU,VETTAVALAM,PADDY(75 KG),"2,066","2,306","2,332",97,99,Qui,23-09-2024
TELANGANA,ACHAMPET,MAIZE LOCAL,"2,289","2,346","2,351",66,99,Qui,23-09-2024
WEST BENGAL,NAKASHIPARA KRISHAK BAZAR,MARI GOLD,"3,230","3,250","3,305",99,99,Qui,23-09-2024
HARYANA,SONEPAT,APPLE,"2,500","5,000","7,500",98,98,Qui,23-09-2024
ODISHA,BALASORE,TOMATO,"4,000","4,000","4,000",98,98,Qui,23-09-2024
RAJASTHAN,KOTA,FENUGREEK (WHOLE),"5,175","6,235","6,355",45,98,Qui,23-09-2024
ANDHRA PRADESH,GUNTUR,CHILLI-5,"7,500","12,800","14,000",280,97,Qui,23-09-2024
HARYANA,NARAINGARH APMC,POTATO,"1,000","1,300","1,500",97,97,Qui,23-09-2024
MAHARASHTRA,SINDI,SOYABEANS,"2,000","4,300","4,355",125,97,Qui,23-09-2024
PUNJAB,BARNALA,POTATO,"1,500","1,550","1,800",97,97,Qui,23-09-2024
RAJASTHAN,KISHANGARH RENWAL,MOONG WHOLE (GREEN GRAM),"6,950","6,960","7,070",97,97,Qui,23-09-2024
RAJASTHAN,MAHUWA RJ,WHEAT,"2,552","2,552","2,622",97,97,Qui,23-09-2024
RAJASTHAN,SRIGANGANAGAR F AND V,MOUSAMBI,"3,200","3,200","3,200",97,97,Qui,23-09-2024
UTTAR PRADESH,ROBERTSGANJ,ONION,"4,000","4,000","4,000",26,97,Qui,23-09-2024
UTTAR PRADESH,URAI,WHEAT,"2,630","2,630","2,640",97,97,Qui,23-09-2024
RAJASTHAN,AJMER F AND V,GINGER,"4,000","4,008","4,014",96,96,Qui,23-09-2024
GUJARAT,PADARA,POTATO,"2,800","2,800","2,800",95,95,Qui,23-09-2024
MADHYA PRADESH,SENDHWA,MAIZE YELLOW,"1,400","1,500","1,600",105,95,Qui,23-09-2024
RAJASTHAN,BIKANER GRAIN,GROUND NUT,"2,000","4,799","5,941",95,95,Qui,23-09-2024
ANDHRA PRADESH,TENALI,LEMON,"5,000","5,040","7,500",94,94,Qui,23-09-2024
HARYANA,FARIDABAD,LADY FINGER,"2,500","2,500","2,500",64,94,Qui,23-09-2024
RAJASTHAN,BHINMAL,ISABGOL,"11,400","11,400","13,051",44,94,Qui,23-09-2024
RAJASTHAN,PRATAPGARH RJ,WHEAT,"2,631","2,690","2,926",94,94,Qui,23-09-2024
ANDHRA PRADESH,DUGGIRALA,TURMERIC FINGER,"7,999","12,500","12,500",369,93,Qui,23-09-2024
CHHATTISGARH,DURG,SWARNA PADDY,"2,183","2,199","2,200",97,93,Qui,23-09-2024
HARYANA,NARAINGARH APMC,APPLE,"2,000","5,000","7,000",93,93,Qui,23-09-2024
RAJASTHAN,AJMER F AND V,CABBAGE,530,"1,500","1,614",82,93,Qui,23-09-2024
RAJASTHAN,TONK,WHEAT,"2,556","2,660","2,660",93,93,Qui,23-09-2024
MADHYA PRADESH,SATNA,CHANA (BENGAL GRAM),"6,405","7,510","7,510",440,92,Qui,23-09-2024
RAJASTHAN,AJMER F AND V,TINDA,"2,700","2,712","2,732",69,92,Qui,23-09-2024
RAJASTHAN,MALPURA,WHEAT,"2,538","2,538","2,600",180,92,Qui,23-09-2024
UTTAR PRADESH,DADRI UP,POTATO,"2,300","2,350","2,350",92,92,Qui,23-09-2024
UTTAR PRADESH,NAJIBABAD APMC,POTATO,"2,100","2,100","2,500",92,92,Qui,23-09-2024
UTTARAKHAND,HALDWANI,BOTTLE GOURD,800,800,800,92,92,Qui,23-09-2024
HARYANA,GOHANA,PUMPKIN,500,500,"1,500",46,91,Qui,23-09-2024
MADHYA PRADESH,KURAWAR,SOYABEANS,"3,710","4,295","4,555",190,91,Qui,23-09-2024
TELANGANA,WARANGAL,MAIZE LOCAL,"2,000","2,400","2,552",100,91,Qui,23-09-2024
HARYANA,SIRSA,MUSTARD,"6,025","6,150","6,150",90,90,Qui,23-09-2024
ODISHA,KAMAKHYANAGAR,RAW BANANA,"2,250","2,250","2,250",90,90,Qui,23-09-2024
RAJASTHAN,KOTPUTLI,WHEAT,"2,400","2,500","2,500",25,90,Qui,23-09-2024
RAJASTHAN,SURATGARH,WHEAT,"2,450","2,580","2,580",90,90,Qui,23-09-2024
UTTAR PRADESH,BHARTHANA,WHEAT,"2,510","2,520","2,540",90,90,Qui,23-09-2024
UTTAR PRADESH,SAHIYAPUR,BOTTLE GOURD,"1,350","1,370","1,370",90,90,Qui,23-09-2024
HARYANA,SONEPAT,TOMATO,"1,800","4,000","4,000",89,89,Qui,23-09-2024
MAHARASHTRA,HINGANGHAT,WHEAT,"1,500","2,625","2,720",84,89,Qui,23-09-2024
ODISHA,KENDRAPARA,TOMATO,"3,000","3,000","3,000",89,89,Qui,23-09-2024
GUJARAT,PADARA,ONION RED,"4,250","4,250","4,250",88,88,Qui,23-09-2024
MADHYA PRADESH,KRISHI UPAJ MANDI SAMITI-KOLARAS,SOYABEANS,"4,255","4,305","4,470",47,88,Qui,23-09-2024
ODISHA,BHADRAK,PAPAYA,900,900,900,88,88,Qui,23-09-2024
RAJASTHAN,LALSOT,WHEAT,"2,520","2,520","2,630",81,88,Qui,23-09-2024
TAMIL NADU,VALLIOOR,BANANA,"2,300","3,500","3,500",88,88,Qui,23-09-2024
TAMIL NADU,DESUR,PADDY CO 51(TN),"2,339","2,372","2,402",84,87,Qui,23-09-2024
TAMIL NADU,VILLUPURAM,COTTON,"3,969","8,489","8,699",162,87,Qui,23-09-2024
TAMIL NADU,VIRUDHACHALAM,PADDY(75 KG),"1,772","2,128","2,875",89,87,Qui,23-09-2024
UTTARAKHAND,HARIDWAR,BANANA,"1,610","1,610","15,620",87,87,Qui,23-09-2024
RAJASTHAN,KEKRI,JOWAR,"2,444","3,352","3,352",86,86,Qui,23-09-2024
RAJASTHAN,KOTA,CHANA (BENGAL GRAM),"6,417","6,515","7,300",364,86,Qui,23-09-2024
UTTARAKHAND,RAMNAGAR,ONION RED,"4,500","5,000","5,000",86,86,Qui,23-09-2024
TAMIL NADU,TIRUVARUR,COTTON,"6,808","6,909","8,029",11,85,Qui,23-09-2024
UTTAR PRADESH,KHURJA,POTATO,"1,420","1,420","1,500",85,85,Qui,23-09-2024
HARYANA,SONEPAT,CUCUMBER,"1,000","1,000","2,000",84,84,Qui,23-09-2024
PUNJAB,SANGRUR,POTATO,"1,400","1,400","1,400",84,84,Qui,23-09-2024
RAJASTHAN,BARAN,FENUGREEK (WHOLE),"4,875","4,875","5,140",84,84,Qui,23-09-2024
RAJASTHAN,JHALRAPATAN,SOYABEANS,"4,412","4,412","4,550","2,312",84,Qui,23-09-2024
ODISHA,BHADRAK,BRINJAL,"2,400","2,400","2,400",83,83,Qui,23-09-2024
TAMIL NADU,ORATHANADU,PADDY,"2,300","2,300","2,300",83,83,Qui,23-09-2024
HARYANA,GURGAON,BOTTLE GOURDE,"1,522","1,522","1,655",0,82,Qui,23-09-2024
HARYANA,SIRSA,CUCUMBER,"1,800","1,800","1,900",82,82,Qui,23-09-2024
RAJASTHAN,CHAKSU,WHEAT,"2,594","2,671","2,671",140,82,Qui,23-09-2024
RAJASTHAN,CHOTTISADRI,GARLIC,"1,550","18,600","25,100",88,82,Qui,23-09-2024
RAJASTHAN,HANUMANGARH TOWN,GUAR SEEDS,"4,900","4,900","5,157",82,82,Qui,23-09-2024
TELANGANA,BHAINSA,SOYA-YELLOW,"4,171","4,211","4,559",72,82,Qui,23-09-2024
RAJASTHAN,NAGOUR,GUAR SEEDS,"5,000","5,000","5,176",187,81,Qui,23-09-2024
RAJASTHAN,SADULSHAHAR,WHEAT,"2,531","2,605","2,621",81,81,Qui,23-09-2024
RAJASTHAN,SIKAR,RIDGE GOURD (TURAI),"2,300","3,000","4,500",18,81,Qui,23-09-2024
TAMIL NADU,POLUR,PADDY(75 KG),"2,259","2,515","2,515",79,81,Qui,23-09-2024
ANDHRA PRADESH,RAPUR,LEMON,"5,500","7,000","7,800",80,80,Qui,23-09-2024
HARYANA,GURGAON,CUCUMBER,"1,855","2,000","2,000",0,80,Qui,23-09-2024
HARYANA,NARWANA,POTATO,"1,800","1,800","2,500",60,80,Qui,23-09-2024
HARYANA,ROHTAK,ONION,"3,000","3,000","4,500",40,80,Qui,23-09-2024
MAHARASHTRA,KHAMGAON,MOONG WHOLE (GREEN GRAM),"6,650","6,700","7,300",0,80,Qui,23-09-2024
ODISHA,BAHADAJHOLA,LADY FINGER,"2,455","2,455","2,600",80,80,Qui,23-09-2024
ODISHA,BETNOTI,ARBI (COLACASIA),"2,000","2,000","2,000",80,80,Qui,23-09-2024
RAJASTHAN,JODHPUR F AND V,TOMATO,"2,500","2,500","2,500",983,80,Qui,23-09-2024
UTTAR PRADESH,MUZZAFFARNAGAR,POTATO,"2,035","2,035","2,035",80,80,Qui,23-09-2024
UTTAR PRADESH,NOIDA APMC,POTATO,"2,210","2,250","2,250",80,80,Qui,23-09-2024
UTTARAKHAND,HALDWANI,CUCUMBER,800,800,"1,200",80,80,Qui,23-09-2024
ODISHA,BAHADAJHOLA,BITTER GOURD,"2,950","3,175","3,200",79,79,Qui,23-09-2024
ODISHA,PARALAKHEMUNDI,TOMATO,"2,500","2,500","3,000",79,79,Qui,23-09-2024
RAJASTHAN,HANUMANGARH TOWN,MOONG WHOLE (GREEN GRAM),"5,900","7,400","7,400",70,78,Qui,23-09-2024
TAMIL NADU,GOPAL PATTI,BANANA,300,300,300,0,78,Qui,23-09-2024
TAMIL NADU,TINDIVANAM,URAD (BLACK GRAM),"2,300","8,465","8,465",88,78,Qui,23-09-2024
TELANGANA,HYDERABAD,CHILLIES,"4,500","4,652","17,000",42,77,Qui,23-09-2024
UTTAR PRADESH,SAHARANPUR,PUMPKIN,700,800,"1,200",77,77,Qui,23-09-2024
RAJASTHAN,CHOMU F AND V,BOTTLE GOURD,"2,050","2,050","2,050",49,76,Qui,23-09-2024
RAJASTHAN,NIMBAHERA,FENUGREEK (WHOLE),"5,150","5,400","5,401",108,76,Qui,23-09-2024
ANDHRA PRADESH,ANANTHAPURAMU,MOUSAMBI,"1,000","1,800","1,800",75,75,Qui,23-09-2024
HARYANA,ELLANABAD,CUCUMBER,500,800,"3,500",34,75,Qui,23-09-2024
KARNATAKA,APMC CHINCHOLI,GREEN GRAM,"5,000","7,100","7,100",75,75,Qui,23-09-2024
MADHYA PRADESH,BHIND,WHEAT,"2,610","2,635","2,647",119,75,Qui,23-09-2024
MADHYA PRADESH,DEWAS,CHANA BENGAL GRAM-DOLLAR,"10,000","11,300","12,920",78,75,Qui,23-09-2024
MAHARASHTRA,AHMEDNAGAR,URAD (BLACK GRAM),"6,860","6,860","7,060",87,75,Qui,23-09-2024
MAHARASHTRA,BEED,SOYA WHITE,"4,420","4,615","4,620",224,75,Qui,23-09-2024
PUNJAB,FATHEGARH SAHIB,POTATO,"1,600","1,700","2,000",75,75,Qui,23-09-2024
PUNJAB,PATHANKOT,POTATO,"1,100","1,900","1,900",75,75,Qui,23-09-2024
UTTAR PRADESH,AMROHA APMC,GREEN CHILLI,"3,605","3,610","3,610",75,75,Qui,23-09-2024
UTTAR PRADESH,LALITPUR,SOYABEANS,"4,070","4,100","4,100",100,75,Qui,23-09-2024
WEST BENGAL,KARIMPUR SUBMARKET YARD,POINTED GOURD (PARWAL),"1,830","1,840","1,840",75,75,Qui,23-09-2024
HARYANA,FARIDABAD,CUCUMBER,"2,500","2,500","2,500",53,74,Qui,23-09-2024
HIMACHAL PRADESH,DHALLI SHIMLA,CAPSICUM,"4,000","4,000","5,000",119,74,Qui,23-09-2024
ODISHA,BALASORE,BRINJAL,"4,000","4,000","4,000",74,74,Qui,23-09-2024
ODISHA,BALUGAON,BRINJAL,"2,200","2,500","2,500",74,74,Qui,23-09-2024
RAJASTHAN,AJMER F AND V,GARLIC,"17,503","17,507","17,511",74,74,Qui,23-09-2024
RAJASTHAN,BHAWANI MANDI,LINSEED,"5,400","5,842","6,000",79,74,Qui,23-09-2024
RAJASTHAN,HANUMANGARH,GUAR SEEDS,"4,988","5,002","5,145",74,74,Qui,23-09-2024
HARYANA,DABWALI,POTATO,"1,000","1,000","1,500",73,73,Qui,23-09-2024
RAJASTHAN,CHOMU F AND V,CUCUMBER,"2,050","2,050","2,050",181,73,Qui,23-09-2024
RAJASTHAN,HANUMANGARH TOWN,WHEAT,"2,480","2,585","2,585",58,73,Qui,23-09-2024
RAJASTHAN,SAWAI MADHOPUR,WHEAT,"2,520","2,625","2,660",132,73,Qui,23-09-2024
TELANGANA,CHOPPADANDI,MAIZE,"2,128","2,425","2,520",68,73,Qui,23-09-2024
HARYANA,GOHANA,APPLE,"2,000","6,000","14,000",63,72,Qui,23-09-2024
MAHARASHTRA,NAGPUR,SOYABEANS,"4,150","4,350","4,350",0,72,Qui,23-09-2024
ODISHA,KORAPUT,CUCUMBER,"1,000","1,000","1,000",72,72,Qui,23-09-2024
ODISHA,KUCHINDA,PUMPKIN,850,850,850,72,72,Qui,23-09-2024
RAJASTHAN,UDAIPUR F AND V,CUCUMBER,"1,200","1,200","2,750",296,72,Qui,23-09-2024
MADHYA PRADESH,MANAWAR,MAIZE,"1,575","2,050","2,050",72,71,Qui,23-09-2024
MAHARASHTRA,Malkapur,WHEAT,"2,530","2,645","2,950",50,71,Qui,23-09-2024
RAJASTHAN,BAYANA,WHEAT,"2,632","2,647","2,660",56,71,Qui,23-09-2024
RAJASTHAN,BHAWANI MANDI,FENUGREEK (WHOLE),"4,925","5,546","6,000",136,71,Qui,23-09-2024
HARYANA,GURGAON,MOUSAMBI,"4,566","4,655","4,655",16,70,Qui,23-09-2024
HARYANA,HANSI,CUCUMBER,"2,000","2,500","2,500",46,70,Qui,23-09-2024
HARYANA,RAIPUR RANI APMC,CUCUMBER,16,16,16,70,70,Kg,23-09-2024
HARYANA,RAIPUR RANI APMC,ARBI (COLACASIA),16,18,18,70,70,Kg,23-09-2024
HARYANA,SIWANI,GUAR SEEDS,"5,425","5,425","5,425",167,70,Qui,23-09-2024
MADHYA PRADESH,JABALPUR,MASOOR,"5,245","5,800","5,800",375,70,Qui,23-09-2024
RAJASTHAN,CHOMU F AND V,TOMATO,"3,450","3,450","3,450",84,70,Qui,23-09-2024
UTTAR PRADESH,MEERUT,GREEN CHILLI,"2,600","2,600","2,700",70,70,Qui,23-09-2024
UTTAR PRADESH,PRATAPGARH,POTATO,"2,300","2,300","2,300",70,70,Qui,23-09-2024
UTTAR PRADESH,URAI,CHANA (BENGAL GRAM),"6,500","6,500","6,500",70,70,Qui,23-09-2024
UTTARAKHAND,HARIDWAR,POTATO,"1,210","1,210","1,250",70,70,Qui,23-09-2024
ANDHRA PRADESH,KURNOOL,URAD (BLACK GRAM),"2,798","5,109","7,609",61,69,Qui,23-09-2024
HARYANA,SIRSA,SPONGE GOURD,"1,500","1,600","1,600",69,69,Qui,23-09-2024
MAHARASHTRA,AAMGAON,PADDY 1010,"2,055","2,100","2,111",69,69,Qui,23-09-2024
ODISHA,BALASORE,PAPAYA,"1,500","1,500","1,500",69,69,Qui,23-09-2024
ODISHA,BALASORE,BOTTLE GOURDE,"2,500","2,500","2,500",69,69,Qui,23-09-2024
RAJASTHAN,BUNDI,SOYABEANS,"4,300","4,450","4,570",6,69,Qui,23-09-2024
RAJASTHAN,PILIBANGA,WHEAT,"2,570","2,584","2,584",69,69,Qui,23-09-2024
UTTAR PRADESH,SAHARANPUR,BOTTLE GOURD,860,940,"1,000",69,69,Qui,23-09-2024
ANDHRA PRADESH,PIDUGURALLA,CHILLI-TEJA,"13,000","17,000","19,000",68,68,Qui,23-09-2024
CHHATTISGARH,JAGDALPUR,PADDY-COARSE,"2,010","2,010","2,090",79,68,Qui,23-09-2024
GUJARAT,BABRA,COTTON,"6,675","6,750","7,250",8,68,Qui,23-09-2024
GUJARAT,SANAND,PADDY 6444,"1,995","2,165","2,680",68,68,Qui,23-09-2024
HARYANA,FARIDABAD,MOUSAMBI,"2,500","2,500","2,500",0,68,Qui,23-09-2024
HARYANA,HANSI,MOUSAMBI,"2,500","3,000","3,500",2,68,Qui,23-09-2024
ODISHA,BAHADAJHOLA,CUCUMBER,"4,950","5,200","5,200",68,68,Qui,23-09-2024
ODISHA,BALASORE,CUCUMBER,"3,000","3,000","3,000",68,68,Qui,23-09-2024
RAJASTHAN,IKLERA,CORIANDAR,"6,235","6,345","6,686",28,68,Qui,23-09-2024
RAJASTHAN,JAIPUR F AND V MUHANA,GUAVA,"2,600","2,600","2,600",0,68,Qui,23-09-2024
RAJASTHAN,KESRISINGHPUR,MUSTARD,"5,958","6,129","6,129",67,68,Qui,23-09-2024
TAMIL NADU,THIYAGADURGAM,BAJRA,"2,289","3,235","3,235",76,68,Qui,23-09-2024
UTTAR PRADESH,BADAUN,ARBI (COLACASIA),"3,000","3,000","4,000",54,68,Qui,23-09-2024
UTTAR PRADESH,GHIROR,WHEAT,"2,150","2,360","2,600",68,68,Qui,23-09-2024
UTTAR PRADESH,KAIMGANJ,MAIZE HYBRID,"2,350","2,355","2,359",68,68,Qui,23-09-2024
UTTARAKHAND,HARIDWAR,LEMON,"2,510","2,570","2,570",68,68,Qui,23-09-2024
ODISHA,BALASORE,BITTER GOURD,"4,000","4,000","4,000",67,67,Qui,23-09-2024
ODISHA,BALASORE,POINTED GOURD (PARWAL),"4,000","4,000","4,000",67,67,Qui,23-09-2024
ODISHA,BALASORE,RIDGE GOURD (TURAI),"2,500","2,500","2,500",67,67,Qui,23-09-2024
RAJASTHAN,PILIBANGA,MUSTARD,"5,606","5,957","6,150",67,67,Qui,23-09-2024
UTTARAKHAND,HARIDWAR,ONION,"1,010","1,050","1,050",67,67,Qui,23-09-2024
RAJASTHAN,AJMER F AND V,POMEGRANATE,"8,500","8,508","8,520",27,66,Qui,23-09-2024
ANDHRA PRADESH,DUGGIRALA,TURMERIC BULB,"7,999","12,200","12,500",195,65,Qui,23-09-2024
CHHATTISGARH,BHATAPARA,PADDY-HMT,"2,800","3,000","3,063",96,65,Qui,23-09-2024
MADHYA PRADESH,BADNAGAR,PEAS SHELLING,"5,000","7,170","7,555",82,65,Qui,23-09-2024
MAHARASHTRA,Malkapur,ARHAR WHOLE / TUR (RED GRAM),"10,260","10,300","10,670",175,65,Qui,23-09-2024
ODISHA,JALESWAR,BRINJAL,"4,000","4,000","4,000",65,65,Qui,23-09-2024
ODISHA,JALESWAR,RIDGE GOURD (TURAI),"1,800","1,800","1,800",65,65,Qui,23-09-2024
ODISHA,PARALAKHEMUNDI,BRINJAL,"2,000","2,000","2,000",65,65,Qui,23-09-2024
UTTAR PRADESH,SAMBHAL APMC,POTATO,"2,000","2,000","2,000",65,65,Qui,23-09-2024
UTTARAKHAND,HALDWANI,BANANA,"1,200","1,200","1,200",65,65,Qui,23-09-2024
UTTARAKHAND,HARIDWAR,RADDISH,410,450,450,65,65,Qui,23-09-2024
HARYANA,GURGAON,CARROT,"2,522","2,522","2,522",21,64,Qui,23-09-2024
ODISHA,BALASORE,IVY GOURD (KUNDRU),"2,000","2,000","2,000",64,64,Qui,23-09-2024
RAJASTHAN,BHAWANI MANDI,URAD (BLACK GRAM),"5,800","7,000","7,400",113,64,Qui,23-09-2024
RAJASTHAN,DAUSA,BAJRA,"1,950","2,035","2,310",64,64,Qui,23-09-2024
RAJASTHAN,SIKAR,TINDA,"2,300","2,300","4,500",4,64,Qui,23-09-2024
RAJASTHAN,SRIKARANPUR,GUAR SEEDS,"4,600","5,161","5,161",59,64,Qui,23-09-2024
UTTAR PRADESH,NOIDA APMC,GREEN CHILLI,840,"4,000","4,000",64,64,Qui,23-09-2024
