State,APMC,Commodity,Min Price,Modal Price,Max Price,Commodity Arrivals,Commodity Traded,Unit,Date
TAMIL NADU,JEYANKONDAM,GROUNDNUT KERNEL_80 KG(TN),"5,250","8,558","10,287",301,293,Qui,23-09-2024
GUJARAT,AMRELI,GINGILY (SESAME SEED)- WHITE,"12,525","12,910","14,100","1,078",291,Qui,23-09-2024
RAJASTHAN,JAIPUR F AND V MUHANA,PLUM,"2,500","2,500","2,600",301,290,Qui,23-09-2024
UTTAR PRADESH,BARABANKI,POTATO,"1,800","1,800","1,825",290,290,Qui,23-09-2024
HARYANA,GURGAON,CABBAGE,"1,855","1,855","2,522",0,289,Qui,23-09-2024
TAMIL NADU,VIRUDHACHALAM,MAIZE,"2,390","2,483","2,869",293,289,Qui,23-09-2024
UTTAR PRADESH,GHAZIABAD,PADDY,"2,200","2,210","2,230",288,288,Qui,23-09-2024
HARYANA,SONEPAT,POTATO,"2,000","2,000","2,200",285,285,Qui,23-09-2024
PUNJAB,RAJPURA,POTATO,"1,720","2,220","2,220",138,283,Qui,23-09-2024
UTTAR PRADESH,ATARRA APMC,PADDY,"2,500","2,500","2,500",281,281,Qui,23-09-2024
HARYANA,NARWANA,BANANA,"1,600","1,600","1,600",100,280,Qui,23-09-2024
TAMIL NADU,ODDANCHATRAM,LADY FINGER,500,500,500,280,280,Qui,23-09-2024
UTTARAKHAND,ROORKEE,POTATO,"1,500","1,500","1,500",280,280,Qui,23-09-2024
RAJASTHAN,JODHPUR GRAIN,ISBGOL (PSYLLIUM HUSK),"11,500","12,375","12,925",258,278,Qui,23-09-2024
RAJASTHAN,NIMBAHERA,MUSTARD,"5,831","5,910","6,050",277,277,Qui,23-09-2024
TAMIL NADU,SANKARAPURAM,MAIZE,"2,280","2,480","2,490",286,276,Qui,23-09-2024
MADHYA PRADESH,SANWER,WHEAT,"2,707","2,748","2,751",270,275,Qui,23-09-2024
RAJASTHAN,DAUSA,MUSTARD,"6,010","6,411","6,710",275,275,Qui,23-09-2024
ODISHA,BHADRAK,TOMATO,"1,400","1,400","1,500",274,274,Qui,23-09-2024
RAJASTHAN,BHAWANI MANDI,WHEAT,"2,379","2,543","2,700",176,274,Qui,23-09-2024
MAHARASHTRA,KHAMGAON,URAD (BLACK GRAM),"6,200","6,350","7,500",0,273,Qui,23-09-2024
RAJASTHAN,LOONKARANSAR,GUAR SEEDS,"5,111","5,230","5,263",272,272,Qui,23-09-2024
RAJASTHAN,RANI,MOONG WHOLE (GREEN GRAM),"4,501","5,649","7,178",272,272,Qui,23-09-2024
MADHYA PRADESH,DEWAS,SOYABEANS,"4,101","4,101","4,515",269,271,Qui,23-09-2024
HARYANA,GURGAON,APPLE,"6,500","8,655","9,500",72,270,Qui,23-09-2024
TAMIL NADU,CHEYYAR,PADDY(75 KG),"1,600","2,203","2,667",261,270,Qui,23-09-2024
ANDHRA PRADESH,GUNTUR,CHILLI-341 A/C,"7,000","16,000","17,800",365,268,Qui,23-09-2024
RAJASTHAN,SANGARIYA,GREEN GRAM,"5,400","7,075","7,665",267,267,Qui,23-09-2024
RAJASTHAN,BARAN,PADDY,"1,800","2,420","2,541",265,265,Qui,23-09-2024
TELANGANA,NIZAMABAD,MAIZE,"1,686","2,429","2,531",257,265,Qui,23-09-2024
HARYANA,BARWALA PANCHKULA APMC,MAIZE,"2,250","2,252","2,300",65,263,Qui,23-09-2024
TELANGANA,KHAMMAM,COTTON-BAGS,"5,511","6,800","7,600","1,542",262,Qui,23-09-2024
UTTAR PRADESH,LAKHIMPUR,WHEAT,"2,600","2,600","2,610",600,262,Qui,23-09-2024
GUJARAT,RAJKOT,CUMMIN,"13,000","21,000","24,300",0,261,Qui,23-09-2024
HARYANA,ROHTAK,BANANA,"2,000","2,000","2,000",0,260,Qui,23-09-2024
JAMMU AND KASHMIR,NARWAL,APPLE,"7,000","8,000","8,000",260,260,Qui,23-09-2024
MADHYA PRADESH,RAJNAGAR,MUSTARD,"5,800","5,900","6,100",260,260,Qui,23-09-2024
MADHYA PRADESH,KHATEGAON,SOYABEANS,"4,300","4,300","4,601",210,259,Qui,23-09-2024
HARYANA,GURGAON,ORANGE,"6,500","6,500","6,855",0,256,Qui,23-09-2024
MADHYA PRADESH,BAIKUNTHPUR,WHEAT,"2,525","2,550","2,550",254,254,Qui,23-09-2024
RAJASTHAN,MANDAWARI,MUSTARD,"5,436","5,498","6,530",168,254,Qui,23-09-2024
RAJASTHAN,PRATAPGARH RJ,SOYABEANS,"3,800","4,100","4,530",254,254,Qui,23-09-2024
RAJASTHAN,DEOLI,BAJRA,"1,735","2,270","2,340",260,253,Qui,23-09-2024
ODISHA,BONAI,BITTER GOURD,"3,000","3,000","3,000",251,251,Qui,23-09-2024
ODISHA,BONAI,BHINDI (LADIES FINGER),"3,200","3,200","3,200",250,250,Qui,23-09-2024
UTTARAKHAND,VIKASNAGAR,POTATO,"1,700","1,700","1,700",250,250,Qui,23-09-2024
CHHATTISGARH,KURUD,SWARNA PADDY,"1,600","2,130","2,221",266,248,Qui,23-09-2024
RAJASTHAN,CHABRA,GARLIC,"5,100","15,900","27,100",250,248,Qui,23-09-2024
UTTAR PRADESH,MAHOBA,CHANA (BENGAL GRAM)-DESI,"6,700","6,800","6,820",248,248,Qui,23-09-2024
UTTAR PRADESH,MAHOBA,WHITE PEAS,"3,810","3,850","3,870",248,248,Qui,23-09-2024
RAJASTHAN,MALPURA,MUSTARD,"6,071","6,225","6,640",484,244,Qui,23-09-2024
RAJASTHAN,SRI GANGANAGAR GRAIN,WHEAT,"2,521","2,586","2,586",225,244,Qui,23-09-2024
HIMACHAL PRADESH,FRUIT MANDI SOLAN,TOMATO,"4,000","4,000","4,000",243,243,Qui,23-09-2024
RAJASTHAN,TONK,BAJRA,"2,060","2,208","2,209",242,242,Qui,23-09-2024
HARYANA,MOHNA,PADDY-BASMATI1509,"1,691","2,101","2,401",375,240,Qui,23-09-2024
MAHARASHTRA,SOLAPUR,SOYABEANS,"4,095","4,235","4,650",418,239,Qui,23-09-2024
MADHYA PRADESH,GAUTAMPURA,SOYABEANS,"4,200","4,450","4,500",237,237,Qui,23-09-2024
MAHARASHTRA,CHANDUR BAZAR,TUR/ARHAR,"9,810","9,810","10,200",0,236,Qui,23-09-2024
RAJASTHAN,JAIPUR F AND V MUHANA,TINDA,"2,500","3,000","4,000",0,236,Qui,23-09-2024
RAJASTHAN,KOTA F AND V,GARLIC,"2,500","4,000","27,100",234,234,Qui,23-09-2024
MADHYA PRADESH,KRISHI UPAJ MANDI SAMITI-LASHKAR,MUSTARD SEED,"6,160","6,350","6,520",251,233,Qui,23-09-2024
RAJASTHAN,AJMER F AND V,BOTTLE GOURD,"1,200","2,000","2,052",178,231,Qui,23-09-2024
RAJASTHAN,BUNDI,PADDY,"2,116","2,800","3,257",231,231,Qui,23-09-2024
TAMIL NADU,PALANI,PUMPKIN,200,200,200,231,231,Qui,23-09-2024
RAJASTHAN,SIKAR,PUMPKIN,400,800,"1,000",46,230,Qui,23-09-2024
HARYANA,FARIDABAD,POTATO,"2,600","2,600","2,600",115,229,Qui,23-09-2024
MAHARASHTRA,SOLAPUR,URAD (BLACK GRAM),"6,200","6,540","7,850","4,977",228,Qui,23-09-2024
RAJASTHAN,KHAJUWALA,MUSTARD,"5,861","6,419","6,451",228,228,Qui,23-09-2024
RAJASTHAN,SRIKARANPUR,WHEAT,"1,636","2,521","2,572",60,226,Qui,23-09-2024
ODISHA,BONAI,CABBAGE,"3,400","3,400","3,400",225,225,Qui,23-09-2024
ODISHA,JEYPORE,GREEN CHILLI,"3,150","3,150","3,150",228,225,Qui,23-09-2024
ODISHA,JEYPORE,TOMATO,"3,400","3,400","3,400",197,223,Qui,23-09-2024
GUJARAT,UNAVA APMC,CASTOR SEED,"6,200","6,300","6,345",221,221,Qui,23-09-2024
ODISHA,JAGATSINGHPUR,PUMPKIN,"1,200","1,200","1,200",221,221,Qui,23-09-2024
RAJASTHAN,JAIPUR F AND V MUHANA,CABBAGE,"1,800","1,800","1,800","1,161",221,Qui,23-09-2024
GUJARAT,AMRELI,COTTON,"4,100","7,220","8,225","1,365",220,Qui,23-09-2024
MADHYA PRADESH,MORENA,WHEAT,"2,690","2,710","2,710",220,220,Qui,23-09-2024
UTTAR PRADESH,BILSI,WHEAT,"2,600","2,600","2,600",220,220,Qui,23-09-2024
UTTAR PRADESH,MORADABAD,POTATO,"2,050","2,050","2,060",0,220,Qui,23-09-2024
RAJASTHAN,JAIPUR F AND V MUHANA,ORANGE,"4,000","4,000","4,000",245,219,Qui,23-09-2024
ODISHA,JEYPORE,PUMPKIN,850,850,850,228,218,Qui,23-09-2024
RAJASTHAN,SAWAI MADHOPUR,MUSTARD,"6,070","6,280","6,410",66,216,Qui,23-09-2024
TELANGANA,TIRUMALGIRI,MAIZE,"1,889","1,989","2,389",241,216,Qui,23-09-2024
ODISHA,BONAI,GREEN CHILLI,"3,000","3,000","3,000",215,215,Qui,23-09-2024
HARYANA,GURGAON,BHINDI (LADIES FINGER),"1,955","2,522","2,522",0,213,Qui,23-09-2024
RAJASTHAN,CHABRA,MAIZE,"1,800","1,801","2,480",236,213,Qui,23-09-2024
RAJASTHAN,SADULSHAHAR,MUSTARD SEED,"5,970","6,275","6,389",213,213,Qui,23-09-2024
GUJARAT,DHANERA,CASTOR SEED,"6,200","6,300","6,330",212,212,Qui,23-09-2024
HARYANA,FARIDABAD,ONION,"5,000","5,000","5,000",134,212,Qui,23-09-2024
RAJASTHAN,SRIKARANPUR,MUSTARD,"2,625","6,257","6,470",113,212,Qui,23-09-2024
UTTAR PRADESH,PILIBHIT,POTATO,"1,900","1,900","2,100",212,212,Qui,23-09-2024
MADHYA PRADESH,KASRAWAD,WHEAT,"2,710","2,750","2,770",211,211,Qui,23-09-2024
HARYANA,SIRSA,PADDY-BASMATI1509,"2,562","3,032","3,057",210,210,Qui,23-09-2024
TAMIL NADU,VILLUPURAM,BAJRA,"2,251","3,294","3,294",392,210,Qui,23-09-2024
UTTAR PRADESH,KONCH,WHEAT,"2,580","2,580","2,580",210,210,Qui,23-09-2024
UTTAR PRADESH,MADHOGANJ,MAIZE-NEW,"2,160","2,200","2,220",210,210,Qui,23-09-2024
MADHYA PRADESH,KAROND,WHEAT,"2,631","2,682","2,832","1,775",209,Qui,23-09-2024
ODISHA,JEYPORE,CAULIFLOWER,"4,000","4,000","4,000",198,208,Qui,23-09-2024
HARYANA,UCHANA,COTTON,"6,200","7,100","7,100",207,207,Qui,23-09-2024
RAJASTHAN,CHOTTISADRI,WHEAT,"2,600","2,811","3,140",238,206,Qui,23-09-2024
ODISHA,JEYPORE,CABBAGE,"1,800","1,800","1,800",193,205,Qui,23-09-2024
ODISHA,JEYPORE,CUCUMBER,"1,000","1,000","1,000",165,205,Qui,23-09-2024
ODISHA,JEYPORE,RADDISH,"1,100","1,100","1,100",175,205,Qui,23-09-2024
TAMIL NADU,NATHAM,PADDY,"2,000","2,000","2,000",204,205,Qui,23-09-2024
UTTAR PRADESH,UJHANI,MAIZE,"2,500","2,500","2,500",205,205,Qui,23-09-2024
MADHYA PRADESH,KRISHI UPAJ MANDI SAMITI-RAISEN,PADDY,"2,970","3,150","3,150",204,204,Qui,23-09-2024
MAHARASHTRA,MANORA,SOYABEANS,"1,799","4,500","4,671",227,204,Qui,23-09-2024
ODISHA,KENDRAPARA,BITTER GOURD,"3,200","3,200","3,300",204,204,Qui,23-09-2024
ODISHA,JEYPORE,BRINJAL,"1,650","1,650","1,650",200,203,Qui,23-09-2024
RAJASTHAN,PILIBANGA,GUAR SEEDS,"4,800","4,875","5,277",202,202,Qui,23-09-2024
UTTARAKHAND,ROORKEE,ONION,"3,020","3,030","3,030",202,202,Qui,23-09-2024
